abn,charityname,registrationstatus,charitysize,activity_desc,other_activity_desc
11883368767,Australian Respiratory Council,Registered,Medium,"The Australian Respiratory Council (ARC) is a charitable, not-for-profit organisation with a mission of improving lung health for vulnerable communities in Australia and the Indo-Pacific Region through translation of research and evidence-based practice into sustainable health solutions. The ARC funds and delivers projects that promote lung health and the elimination of tuberculosis in Australia and the Indo-Pacific Region.",
11889371769,The Trustee For Centrepoint Church Trust Fund,Registered,Small,We support other local and overseas charities,
12065515190,Relief Hope Agency Nation Development Service Incorporated,Registered,Small,"Relief Hope Agency Nation Development Service Incorporated in Sydney, New South Wales, Australia would like to extend its services to the Republic of South Sudan, Jur River County, Western Bahr el Ghazal State to build Primary School for orphans, street children, vulnerable parents and provides scholarships for 510 students in thirteen primaries school in (Jur) Luo River the meanwhile the school and dispensary clinic are building. (Jur) Luo River County is a county in the Western Bahr el Ghazal state in South Sudan located in east and northeast parts of the state, (Jur) Luo River County is divided into payams (districts): Kangi Payam, Udici Payam, Marial Wau Payam, Wan Bai Payam, Rojrojdong Payam, and Kuajina Payam. Jur River County headquarters has been relocated to Nyin Akok Village on the eastern bank of the (Jur) Luo River. Local ethnic groups are Luo The Original natives of Wau, Wau is the capital city of the state (Jur) Luo River is located in the central Wau, Mapel is located in",
12095165558,Australian Wool Innovation Limited,Registered,Large,Working with global wool supply and international consumers to promote the benefits of producing yarn/fabric/garments made from Australian merino wool and ultimately promoting these garments to the consumer.,
12128608147,Crossculture Church Of Christ Inc,Registered,Medium,Website: hwww.ashakiransociety.org,
12146982452,Australia And New Zealand Child Neurology Society Limited,Registered,Small,Charity operates within Australia and New Zealand,
12164177931,Neighbourhood Economics Ltd,Registered,Medium,"We provide the same programs for organisations and groups overseas, as we do in Australia. Part of the program is delivered on the ground, in country (travel allowing), and some parts delivered via online meetings and workshops or regular coaching sessions.",
12165033205,Australia Timor-Leste Advancement Society Ltd,Registered,Small,ATLAS is a charity that identifies and manages programs of assistance through our partners in Timor Leste. Through our contacts we identify projexts perfrom an asssesment on the program viability and benefitds and if it fits within our mandated activities. We then manage the programs through progress reports and internaction with the local partners.,
12217831154,Credit Union Foundation Australia,Registered,Medium,"1) Provision of education and training  2) Economic development: Education, Economic institutional development, Employment and Livelihoods",
12286724219,Christian Women Communicating Intl In Aust,Registered,Small,Training and providing material for leaders in KYB groups.,Providing KYB study material in digital or print format.
12291757316,Heartfulness Institute,Registered,Small,"The main education and training facility for the members and trainers of the Heartfulness Institute is in Kanha Shanti Vanam in India. SMSF is engaged in creating elaborate facilities for training and accommodation at this location. Heartfulness Institute had agreed in August 2021 to collaborate with SMSF to support a few of their projects by making financial contributions (grants) to the extent of $1,000,000. In the year 2021-22 a grant amount of $250,000 was disbursed towards the HVAC system supply and installation for the accommodation facilities. Further facilities created by SMSF that will benefit our members during their visit to Kanha will be carefully considered for financial support in the future. We have established and adhered to the External Conduct Standards as per ACNC guidance.",
12314134057,The Anganwadi Project Incorporated,Registered,Small,TAP sends volunteer architects to work with local charities to design and built anganwadi's in India.  Anganwadi's are small community buildings where children and women receive free education and health services.,
12430083656,The Household of God Ministry Inc.,Registered,Small,Support destitude children in Northern Ghana and southern Burkina Faso by teaching them English and moral education while preaching the gospel to them and their families,
12451824370,Chairo Parent Governed Christian Education Limited,Registered,Large,"We provide funds to a mission school being developed in Indonesia, which helps fund facilities and achieve their curriculum goals as well as starting to run our mission trip to Indonesia again in 2023",
12533434208,Life Unlimited Church Whyalla Incorporated,Registered,Small,"sponsor 11 Compassion children around the world, Also Sri lanka youth and missionaries",
12552547913,Falemaama Christian Centre Incorporated,Registered,Small,"Our church donates funds to sponsor churches in Solomon Islands and The Kingdom of Tonga. We also partner together with LoveWorld Ministries, a global ministry with headquarters in Lagos, Nigeria. These funds are sent overseas and sometimes used to ship Rhapsody of Realities for FREE DISTRIBUTION only. Monies donated to LoveWorld are for the global broadcasting of ministry programs on television, live streaming across internet platforms and sponsorship of the free distribution of ROR around the world.",
12576873045,New Life Church Raymond Terrace,Registered,Small,Providing funds towards benevolent relief and sharing the message of the Gospel in other countries - predominantly the Philippines.,"Apart from funds, we provide prayer support and opportunities for people to visit, help and see first hand the organisation we support."
12585031991,No Barriers Education Foundation Inc,Registered,Small,"No Barriers Education Foundation provides 2 secondary schools in Mashonaland Central, Zimbabwe with: 1) supplies for the local preparation of daily school meals for all students. This addresses not only a nutritional need in this area, but also draws children back to school, especially after prolonged periods of covid-19 related lock-downs. 2) provision of sanitary hygiene kits, toiletries and menstrual & sexual health related workshop to better equip girls to manage their menstruation and for boys and girls to be better equipped to deal with matters in relation to Sexual and Reproductive Health and Rights (specifically to reduce incidence of sexual assault, child pregnancies and child marriage). 3) School fee support for students from highly vulnerable family situations (funds are transferred directly to the schools). 4) Provision of textbooks to the schools (textbooks are according to the  schools syllabus and as prescribed by the Zimbabwean Department of Education)",
12611640987,HandUp Congo Incorporated,Registered,Small,We provide funding assistance for each program and provide professional expertise for the implementation of each program when needed.,
12628821045,Global Mission United Ltd,Registered,Small,We donate to churches overseas and enable volunteers in these churches to cook and feed the homeless. We donate to aid children's education and natural disaster crisis,
12643592318,MSSP Philippines Mission Appeal,Registered,Small,Financial donations are given to the charity and transferred to the program overseas.,
12645422033,Nuba Orphanage and Widows Home Inc,Registered,Small,"NOAH works overseas in the field of sewing programs for special group of ladies known as widows. These women are mostly the one that either lost their husbands in civil war. We assist them annually in various activities. Moreover, NOAH also help with orphan children with educational programs which is mainly primary school. However, there are other programs as well that our organisation offer such as leadership training, counselling and conferences for different groups for instance, Leadership, Women groups, Youth groups. All these programs offered under NOAH management.",
12645424862,GHD Foundation,Registered,Medium,"The Foundation supports other charities to deliver STEM, community, water and energy programs overseas",The Foundation supports other charities to deliver their programs overseas
12712440531,MORNINGTON PENINSULA FRIENDS OF LOSPALOS INCORPORATED,Registered,Small,"All of our programs run in Lospalos, Timor-Leste and the surrounding areas. We fund community infrastructure projects and where required, provide benevolent relief, such as purchasing and distributing food to those affected by natural disasters.  To facilitate the delivery of our programs, we pay a part-time wage to a local focal-point worker. We also provide funding to a committee in Timor-Leste to meet the operating costs incurred in delivering our programs.",
12806513245,THIS LIFE INCORPORATED,Registered,Medium,"We try to do things differently. We don t build new schools or establishments, we work to galvanise existing community institutions, resources and infrastructure which can thrive long after we are gone. We don t do things for people, we help people to set up their own businesses or teach them how to fundraise for themselves, skills they will be able to call upon when we are no longer there.  We provide emergency support for vulnerable families We provide community training on subjects like domestic violence We provided emergency financial assistance to families affected by the Covid pandemic and loss of income",
12928362166,Rwandan Australian Friendship Association Inc.,Registered,Small,Paying school fees for students who would otherwise fail to obtain employment oriented qualifications,
12954541415,Youth First Concerns Inc,Registered,Small,Using technology to deliver coaching to YFC staff in Asia Pacific region.,
12989745630,Children In Need Inc.,Registered,Small,We provided educational support to childen living in remote village of Nepal.,
13001269757,Bushikori Christian Centre - Orphan Support Aus Inc,Registered,Small,"An NGO run by Ugandan nationals whom we partner with. Consists of a sponsorship program facilitating education from primary, secondary and tertiary levels. Onsite is a healthcentre for maternal child health and HIV. Also a primary school and community library of books and IT",
13105087161,ARC International (Aust) Ltd,Registered,Small,Construction of a school for orphans and rural poor in remote eastern Kenya,
13123895447,Ryder-Cheshire Australia Limited,Registered,Medium,"At Raphael, established in 1959 by Leonard Cheshire & Sue Ryder, in Dehradun, northern India, the focus is on caring for people with leprosy, tuberculosis (TB), multi-drug resistant TB (MDR-TB) and physical, intellectual and learning difficulties. Raphael offers services free of charge, including accommodating around 200 people and providing day programs for more than 250 people. Raphael operates under its own local Board of Directors.   Klibur Domin located in Tibar, about 17 km from the Timor-Leste capital Dili, has three main programs: the Inpatient Program, providing care for low needs patients; the Community Based Rehabilitation program, which supports children and adults with disability and provides respite care and access to education; and the Tuberculosis (TB) Program, which provides care for patients with both TB and Multi-Drug Resistant. It also has a dental clinic to provide dental treatment and oral health education.",
13133277666,Room to Read Australia Limited,Registered,Large,"Room to Read collaborates with communities, governments and ministries of education in low income countries to improve literacy and gender equality in education.",
13137106088,Climate Change Equity,Registered,Small,"We work with the Government and NGOs in Timor Leste to develop a sustainable forestry industry, reforesting over-harvested old growth forest and establishing plantations of native hardwoods.",
13146102758,Blakdance Australia Limited,Registered,Medium,Visiting performing arts industry gatherings and markets; Participating and presenting at international performing arts conferences and festivals,"International market development for Australian First Nations choreographers, dance makers and companies"
13149039467,Gawad Kalinga Australia Ltd,Registered,Small,"Internationally, GKA has supported the 28 Australian sponsored GK villages in the Philippines together with the Australian sponsored villages in Cambodia and Port Moresby. GKA has also been developing a support program to supplement the Australian Governments (DFAT) grant of $1 million to construct 250 homes in Palo, devastated by Typhoon Yolanda and has provided disaster relief. GKA is also helping to fund school feeding programs for the marginalized communities in the Philippines",
13159193638,SeeBeyondBorders Australia,Registered,Medium,Operating overseas including delivering programs.,
13171282122,Sophia Resources Inc,Registered,Small,We occasionally send funds to a charity/church in Myanmar but have paused this in order to be compliant with ACNC rules,
13196056495,Permaculture International Ltd,Registered,Small,"Micro grants of $2,000 AUD to support village food production projects",
13321005821,Hope Behind Bars Inc.,Registered,Small,"The main focus is still the outreach to five major prisons in the Isaan area. Many prisons had restrictions in place as a result of the Covid pandemic. A lot of support went towards the post-release segment in terms of providing work opportunities and tangible support, i.e. housing, clothing etc.",
13358876011,LOTUS OUTREACH AUSTRALIA INCORPORATED,Registered,Small,"In partnership with Cambodian Government registered NGOs, we identify girls at risk of the worst forms of child labour and trafficking. Our intervention Provides educational opportunities through our Girls  Access to Education (GATE) scholarships program.  our GATE Program is highly successful, seeing girls from the poorest families access and succeed at high school before going onto vocational training or to university, or finding meaningful employment.  Our projects focus on sustainable change for families and communities through the education of their girls.  We support their families to become self-sufficient.  We work with LOCAM (Lotus Outreach Cambodia) LOCAM's biggest project is CATALYST, which supports post-school opportunities for GATE scholarship girls to continue their studies. LOCAM funds a number of early childhood education programs, clean water facilities in schools, counselling for victims of domestic violence and trafficking, and a rural development projects",
13433292460,Society of Environmental Toxicology and Chemistry Asia-Pacific,Registered,Small,Online workshops and a conference. Student research project funding. Student presenters awards at conference,
13449348528,Women's Federation for World Peace Australia INC,Registered,Small,"WFWP Australia focuses its WFWP Global Development and Aid Projects in the Island Nations of the Oceania region (Vanuatu, Solomon Islands, Fiji, PNG, and Samoa).  These regions are some of the poorest countries in the world. The 2014 World Bank ranking of 181 nations according to GDP for the Pacific Islands is: Solomon Island (ranked 131), Micronesia (123), PNG (127), Vanuatu (119) Marshall Islands (113), Samoa (103), and Fiji (95). In these countries there is no social security; and EDUCATION is NOT FREE, even in public schools.  Through your partnership with WFWP, you are supporting Sustainable Development Goal 4: ensure inclusive and quality education for all, and promote lifelong learning. In the Solomon Islands, 4/10 children drop out of primary school; and in Vanuatu, only 7/10 students enroll in high school. WFWP Australia is committed to solving this social problem by providing these children and youths with education opportunities.",
13462778021,Aussie Books For Zim,Registered,Small,"Aussie Books For Zim turns 'trash into treasure', by diverting gently used books destined for landfill in  Australia, and shipping them to Zimbabwe, where we have established 16 libraries to date in rural  disadvantaged communities. Aussie Books for Zim is creating brighter futures through books by giving communities access to books who previously had limited to no access to books.",
13514790766,Eyes for India Oceania Incorporated,Registered,Small,"The screening and surgery  camps are organized in collaboration with governmental and non-governmental voluntary organisations, local hosts and humanitarian groups.  An improvised surgical technique, known as small incision sutureless cataract surgery with an intraocular lens implantation, is used.  This procedure is extremely cost effective.  This has empowered patients to take care of themselves, and eventually break out of the extreme poverty line.  This simple cataract surgery  now costs approximately $50.00!  All overseas funds are subject to audit and uploaded quarterly into the FCRA portals, Ministry of Home Affairs, Govt of India.  Volunteers travel from Australia to the Punjab, to assist with maintenance and to monitor activities.",
13556352207,Nepali Family Inc,Registered,Small,Provides funds to associated charities - Abiyan Nepal and Opportunity Nepal to support the education of disadvantaged young people in Nepal.,
13571008741,Save Cambodian Children Fund Australia Inc,Registered,Small,Apart from building schools SCCFA is also empower poor and disadvantaged school-aged children by providing support and opportunity so they can pursuit their dreams.,
13610692342,Australian Tibetan Society Inc,Registered,Small,explained as above in other activities.,Organised ATS members and groups of volunteers visiting ATS projects in the Himalayan region of India and remote areas of Nepal. Giving financial contribution and hands on support in building shelters for poor families and also providing teaching lessons to children. Volunteer medical team of Doctors and nurses from Australia also made a number of trips to the region where urgent assistance was necessary.
13615540273,PRABH AASRA AUSTRALIA LTD,Registered,Small,"The purpose of the Company is to solicit and raise funds for Universal Disabled Care Taker Social Welfare Society, a registered charity with the local government in India, which provides care to helpless, disabled, orphaned and unclaimed destitute people irrespective of caste, creed or religion.",
13623050582,Raw Impact International Limited,Registered,Medium,"Internationally, we operate within three key pillars - Sustain, Educate and Protect. Sustain: Partnering with villagers to provide sustainable livelihoods through intensive farming and agricultural initiatives; Educate: Providing teacher training to increase the capacity of local primary schools so kids can thrive; Protect: Implementing innovative design and build projects (primarily using bamboo) to assist families living in slums to have safe and secure housing. We also provide social work to benefit the family unit.",
13628586699,Swinburne University Of Technology,Registered,Large,"Transnational Education Malaysia: Undergraduate and postgraduate programs in Business, Information Technology, Engineering, Computer Science, and Media Communication.  Singapore: Postgraduate level: Graduate Certificate of Counselling, Graduate Diploma of Counselling, Master of Counselling (Advanced), and Graduate Certificate of Clinical Supervision.  Vietnam: Undergraduate level: Business, Information, and Communication Technology and Media Communications.  Sri Lanka: Undergraduate preparatory level: Foundation-Business, Engineering/Science. Diploma Unilink-Business, Engineering, IT, and Health Science.  Diploma - Hospitality and Events Management  Hong Kong: Undergraduate level: Aviation Management.  China: Twining Collaboration with Nanjing and Hohhot.  China: Collaborative partner degree in Business, Accounting, and Science. Joint Ph.D. Research Collaboration: Students undertake Swinburne Masters and Research Degrees in-country.",
13672642573,Wind Of Change International Inc,Registered,Small,"We operate projects in Nepal in partnership with a local NGO, focused on education.",
13680663161,Life View of the Refugees Incorporated,Registered,Small,"Life View of the refugees Inc. is doing amazing work with vulnerable farmers in republic of South Sudan. Our role is to provider training to farmers and demonstrating model agriculture technology (Axe-plough and tractor) Training them to use agriculture model technology instead of agriculture traditional model Provide agriculture seeds, tools, pesticide, insecticides and some advices to farmers. Crop rotation, spaces and so on.",
13696899427,Thanksgiving Australia Incorporated,Registered,Medium,"Helping with diversified program including medical, education and development in Egypt, Nepal, helping vunerable women and disadvantaged kids",
13698508050,Restoring Trust  Incorporated,Registered,Small,"Due to Covid and travel restrictions, we have been unable to travel overseas therefore all of our efforts have been to ensure that financial support be provided to assist those who are located there.",
13822519341,Geelong Viqueque Friendship Schools Inc,Registered,Small,Supplies are sent to TL in support of the schools in Viqueque. Funds are transferred to cover some librarian salaries and student scholarships.,
13841589581,The Trustee For Brisbane Revival Fellowship Trust,Registered,Small,Caring for church members and their families,
13857067628,Mercy Christian Childrens Ministries International Incorporated,Registered,Small,"Mercy Christian Children s Ministries International Inc (MCCMI) is a Christian Faith- based organisation and, as such, at all times is considered to be a non-profit, non-denominational body promoting community initiative aimed at improving the quality of life for underprivileged, disenfranchised parentless children, or and abandoned children. Our mission statement is  Building Lives, Changing Nations . We are committed to providing educational opportunities to the children, their families, and their communities that we are privileged to engage with and care for. Ongoing financial, management, emotional and spiritual support enables the children of MCCMI to continue to be clothed, housed, developed, loved, nurtured and educated in our secondary school 'Mercy Academy' and surrounding schools and registered training organisations.",
13885396833,Basanta Foundation Incorporated,Registered,Small,Basanta Foundation runs the BRAVE Centre which is vocational training and paid services for people with disability. The sanitation pads that are sewn at the centre is distributed to the young girls of Nepal for free,
13886323063,Gifts for Manus and Nauru Incorporated,Registered,Small,Providing phone top-ups for refugees detained in PNG and on Nauru under Australia's Offshore Detention Policy.,
13897833087,Shine Like Stars Inc.,Registered,Small,We send money to a Pakistani organisation called Community Link Programme. They use the money to buy equipment needed to construct biosand water filters as well as travel and accommodation costs. All workers are volunteers. CLiP volunteers construct the filters on sites and teach young and old community members how to maintain their filter. All projects have been done in a desert region called Cholistan.,
13914614073,Australian Health Humanitarian Aid Inc,Registered,Small,BUILD COMMUNITY CENTRES IN RURAL VIETNAM AND CAMBODIA TO IMPROVE QUALITY OF LIFE BY PROVIDING REGULAR FREE MEDICAL SERVICES AND HUMANITARIAN AID. ALSO PROVIDE SCHOLARSHIPS TO POOR STUDENTS DURING COVID,
13919391377,Working For Animals Inc,Registered,Small,"We provide funding for running and maintenance of animal shelters and associated activities in India and other developing countries, as well as advice, guidance and sponsorship.",
13959947705,Hosanna Excelsis Kingship Church of Christ,Registered,Medium,"Continued support of Orphanages primarily within Africa and India to advance education in local residents and ensure local children are supported with food, clothing, shoes and other such needs as they arise. Payments are made directly to reputable local suppliers, where the local Pastors and carers are able to access supplies required. Where possible, photos and other correspondence are requested from beneficiaries, providing proof of receipt and proper use of funds.","Supporting of orphanages & local children within Africa, India and Nepal including the giving of Bibles, clothing, mosquito nets, payments for food, shoes and teaching and schooling materials. Supporting of local Pastors in locations around the world with prayer, encouragement, teaching and preaching materials, Bibles and Hosanna 'Morning Star' Publications DVDs, Music CDs. books, banners, bicycles and other materials from time to time. Hosanna Morning Star Internet Ministries Website, Youtube channel and podcasts - Offering prayer, encouragement and teachings related to the Gospel of Christ Jesus our Lord - free of charge access to all worldwide. Support via donations to recognised International Charities including - Fred Hollows Foundation, Mercy Ships Australia, Doctors Without Borders, United Help Ukraine, Amnesty International and UNICEF."
14073125381,Operation Restore Hope Australia Limited,Registered,Small,Operation Restore Hope Australia carries out surgical missions for children living in poverty with cleft lip and palate.  The charity also partners with surgical and craniofacial foundations in the Philippines to support pediatric patients with severe clefts or craniofacial deformities who require treatment that can not be carried out in a mission environment.,
14128546850,Australian Cervical Cancer Foundation,Registered,Medium,"ACCF is a signatory to the ACFID Code of Conduct, which is a voluntary self-regulatory sector code of good practice.  As a signatory we are committed and fully comply to ACFID s Code of Conduct, conducting our work with transparency, accountability, and integrity.  Our Annual Report for 2021-22 including the financial statements highlights that ACCF provided monetary support to our overseas partners.  The support provided has been carried out in good faith and within our mission, goals, purpose and values.",
14133636058,Christian Discipleship Ministries Ltd,Registered,Small,"We sponsor 70 school aged children in the Philippines, providing them with funds for food and schooling needs.",
14142058956,Grupo Pastoral Don Bosco Incorporated,Registered,Small,We transferring funds to Casa de Acogida Don Bosco in Lima - Peru,
14159835104,All Kids Limited,Registered,Small,AllKids Objectives: - To enable disadvantaged children living in the Ream District of Cambodia to access an education. - To improve the quality of education and facilities within local schools. - To strengthen local communities and encourage self determination.,
14163481329,CUFA Ltd,Registered,Medium,"1) Provision of education and training  2) Economic development: Education, Economic institutional development, Employment and Livelihood",
14166774438,Towards International Medical Equity,Registered,Small,Donated money to Maluk Timor health clinic to support their efforts to rebuild their clinic after natural disaster (flooding),
14196214542,Roads to Rehab - Nepal,Registered,Small,"We continued to work with our project partner organisation to advance health. In January their name was changed to better reflect what they do. NHEDF is now Medical Rehabilitation Organisation (MeRO). They continue to work within all in-country legislation requirements, governance standards and comply with all reporting requirements including audited financial accounts as required by the Social Welfare Council in Nepal - the Government body that regulates and manages the activities, registration and operations of charities.  This year we have again fulfilled our commitment to facilitate program delivery. We have paid the wages of their clinical staff; funded $500 a month for patient pharmaceuticals; and have paid medical and surgical costs for patients as able. We have strengthened activities to further foster safety, due diligence, transparency, accountability and good governance and have continued to facilitate ongoing educational opportunities for their clinical staff.",
14432764463,Rhizomin Inc,Registered,Small,Focus is to mentor Christian NGOs. Also to provide support and leadership to organisations globally who are working to enhance and spread the Christian faith.,
14458768638,Orbus Ministries Australia Inc.,Registered,Small,"OMA has established and now supports the Orbus Centre in Ngumbe, Malawi, which includes a nursery class, full primary school and full secondary school. The Centre is now operated by local partners and OMA provides financial contributions to assist in further developing the Centre and its programs. OMA aims to develop further educational and community development programs as resources become available. All activities are designed to assist underprivileged children in particular and poverty affected communities in general.",
14565272536,Perth Observatory Volunteer Group Incorporated,Registered,Medium,The Perth Observatory's international activities are all passive. We are a sort after viewing site due to our geographical location and because of that we facilitate international astronomical observations.,Host a telescope for a USA astronomical body. Host cameras for a international meteor recording network Host a telescope for USA satellite tracking company.
14578483221,Wantaim PNG Incorporated,Registered,Small,"Our vision is a strong and sustainable PNG where villagers are empowered to achieve productive, meaningful and prosperous lives.  We prioritise initiatives focussed on the needs of the largest voiceless groups in PNG, women and youth.  In doing so, we support families and entire communities.  We target remote, rural communities where 85% of PNG people live.",
14598797167,HANARU WOMEN'S HEALTH FUNDRAISING INC,Registered,Small,"Hanaru Women's Health Fundraising Inc has been established in Australia to raise social awareness about the plight of school aged girls and women in India. They are disadvantaged and discriminated against because of social normalities in India. We also raise funds to support them. Hanaru's financial support enables the production of the washable sanitary napkins. Local women are employed to make them. The amount of money donated determines how many girls will receive menstrual health education and a sanitary napkin kit. Hanaru designs and organises the production of recycled fabrics in Taiwan. We established a fabric grid system so that the production of Hanaru sanitary napkins is accountable. We engage local university students as our ambassadors to visit school girls in the local communities, including slums. We value their efficient field work, and communication skills.",
14623439403,Access Asia Health Accelerator Limited,Registered,Small,"We engage in international conferences and events in healthcare to promote Australian capacity and expertise in healthcare management and healthtech innovation, and to facilitate collaboration opportunities between two countries. We also organise and lead Australian delegations in healthcare management and healthtech innovation to travel to China to build up partnership and network for collaborations. Due to COVID-19 restrictions, all our international activities have been either moved to online or postponed.",
14627070697,Someone Who Cares Ltd,Registered,Small,Provision of educational and medial supplies abroad,
14631928651,PLEDGE TO RESTORE LTD.,Registered,Small,"PLEDGE To Restore will be force and a partner of choice dedicated to ending poverty by providing economic freedom for people living in remote - rural villages. We will be known for our unshakable commitment to the dignity of our people.  Our Mission Drawing from our global diaspora representation, diversity, resources and experience, we promote innovative solutions and are advocates of global responsibility towards communities living under poverty line.  We facilitate lasting change by; Strengthening capacity for self-help through Women Empowerment Providing economic and employment opportunities from sustainable Agriculture & Livestock Development  Delivering renewed ambition through Education and youth Life-skill Development Rebuilding community resilience through Mental Health development & suicide prevention Delivering relief in Emergencies",
14674514077,See Indonesia Incorporated,Registered,Small,Transfering funds to Indonesia to provide support for community development work as described above.,
14676831833,AMBASSADORS OF CHRIST MINISTRIES LIMITED,Registered,Small,"Operating a tuition center among the underprivileged children in Sri Lanka, community and religious work among them in Sri Lanka",
14713071805,SYDNEY BETH DIN INCORPORATED,Registered,Small,Servicing the Jewish community in New Zealand,
14714202117,Bible College Of Western Australia Inc,Registered,Small,Mentoring Pastors and leaders and networking with churches.,Ministry training to participants living outside Australia.
14813025675,Asia Evangelistic Fellowship International Inc,Registered,Small,"Operating overseas including delivering programs Further details: Assisting local Asian organisations and their leaders in spreading the message of the Gospel of Jesus Christ in Asia; Assisting local organisations to establish tertiary level theological education centres and teacher training programs in Asia through its Asia College of Ministry; Assisting local organisations establish education centres and teacher training programs in Asia ; Raising funds directly for the accomplishment of the objectives of AEFI; Encouraging indigenous work, national workers, and the formation of local organisations to become autonomous Christian pioneers; Maintaining unity and enhancing the cohesiveness of the whole body through coordination, communication, consultation and networking.",
14847378288,Sikh Mission Centre Sydney Inc,Registered,Small,Get educational videos and books on primary Punjabi courses,Educational programs with other countries
14869953270,Montagner-Zembrzuski Family Foundation,Registered,Small,Provision of money to fund school development projects in low socio-economic  location,
