abn,charityname,registrationstatus,charitysize,activity_desc,other_activity_desc
12645422033,Nuba Orphanage and Widows Home Inc,Registered,Small,"Nuba Orphanage and Widows Home Inc, work in Nuba Mountains-Sudan mainly with vulnerable communities such as those who have been affected by civil wars in the country. these initiatives have been and is targeted the marginalised groups of people in the region. Most of these people are either lost the love one or both parents during the civil war in the country. In fact, the programs started with a few sewing machines for training only women. And the aim was to give them opportunity to earn new skills in sewing industry, by which they would be able to earn some income to help their families. Many of these women, were either widows or singles who lost their husbands in human made disaster of wars. Since the program have started with a few numbers today we have more than 80 sewing machine which Nuba orphanage and widows home training hand on for these people. Today we were able to graduated more than 200 women in sewing industry by which many of them are now helping themselves through it.","Adult vocational traineeship programs for people can't attend school anymore or having difficulty learning due to disability or inability to attend schools. The programs will include training old people in build and construction, making bricks, and summer gardening farm activities. That would be tomatoes, sweat, Okra, black eyes bean and other local product."
12712440531,MORNINGTON PENINSULA FRIENDS OF LOSPALOS INCORPORATED,Registered,Small,"Funds raised are provided to the individuals and communities of Lospalos, Timor-Leste through various projects and initiatives. Our activities are coordinated in Timor-Leste by our focal point worker who is local to the region. Project proposals are put forward by the community leaders of the Lospalos Municipality and funding is designated after an approval process by our charities committee.",
12748977994,The Trustee For The Anne Maree And Bernard Myles Quinn Memorial Trust Fund,Registered,Small, ,
12806513245,THIS LIFE INCORPORATED,Registered,Large,"We team up with communities who are battling serious social challenges. We listen to them and work with them to overcome the problems they identify, putting into place the solutions they design, and making progress in the direction they choose. The communities lead the way, with us by their side, and then - when they are firmly on the right path - we step aside and watch them move onwards on their own two feet. This is our Future, Together approach.",
12928362166,Rwandan Australian Friendship Association Inc.,Registered,Small,"RAFA supports the livelihoods, especially further education access for survivors of the 1994 genocide in Rwanda.",
12954541415,Youth First Concerns Inc,Registered,Small,Using technology to deliver coaching to YFC staff in Asia Pacific region.,
12989745630,Children In Need Inc.,Registered,Small,We help children and families living in developing countries who are living in poverty without proper education and/or basic needs,
13001269757,Bushikori Christian Centre - Orphan Support Aus Inc,Registered,Medium,"This is a NGO run by Ugandan nationals whom we partner with. Consists of a sponsorship program facilitating education from primary, secondary & tertiary levels. Onsite there is a health centre for maternal Child health and HIV. Also a primary school and community library",
13105087161,ARC International (Aust) Ltd,Registered,Small,"Transferring funds or goods overseasConstruction of a school for orphans and rural poor in remote eastern KenyaFurther details:Supplying funds for the construction of classrooms, library, and science lab for primary and secondary students at Kilifi Kenya",
13133277666,Room to Read Australia Limited,Registered,Large,"Room to Read collaborates with communities, governments and ministries of education in low income countries to improve literacy and gender equality in education",
13137106088,Climate Change Equity,Registered,Small,"We work with the Government and NGOs in Timor Leste to develop a sustainable forestry industry, reforesting over-harvested old growth forest and establishing plantations of native hardwoods.",
13149039467,Gawad Kalinga Australia Ltd,Registered,Small,"Internationally, GKA has supported the 28 Australian sponsored GK villages in the Philippines together with the Australian sponsored villages in Cambodia and Port Moresby. GKA has also been developing a support program to supplement the Australian Governments (DFAT) grant of $1 million to construct 250 homes in Palo, devastated by Typhoon Yolanda and has provided disaster relief. GKA is also helping to fund school feeding programs for the marginalized communities in the Philippines",
13159193638,SeeBeyondBorders Australia,Registered,Medium,Delivering in service training programs to primary teachers and working with the MoE towards systemic improvements in education.,
13171282122,Sophia Resources Inc,Registered,Small,Supporting ministries mainly in Myanmar,
13196056495,Permaculture International Ltd,Registered,Small,"Micro grants of $2,000 AUD to support village food production projects.",
13214315710,The Trustee For Anna White Trust For Bush Nursing In Austraila,Registered,Small, ,
13225292063,The Trustee For Ronald Gordon Bergstrom Est,Registered,Small, ,
13321005821,Hope Behind Bars Inc.,Registered,Small,Same as above. Unable to proceed with activities in the usual way this year due to the pandemic.,
13351382911,The Rothwell Wildlife Preservation Trust,Registered,Small, ,
13358876011,LOTUS OUTREACH AUSTRALIA INCORPORATED,Registered,Small,The Association is a member of the Lotus Outreach International network and partners with the Cambodian Women s Crisis Centre ( CWCC ) and Cambodian Organization for Children and Development ( COCD ) for local implementation of programs.,
13449348528,Women's Federation for World Peace Australia INC,Registered,Small,"WFWP Australia focuses its WFWP Global Development and Aid Projects in the Island Nations of the Oceania region (Vanuatu, Solomon Islands, Fiji, PNG, and Samoa). These regions are some of the poorest countries in the world. The 2014 World Bank ranking of 181 nations according to GDP for the Pacific Islands is: Solomon Island (ranked 131), Micronesia (123), PNG (127), Vanuatu (119) Marshall Islands (113), Samoa (103), and Fiji (95). In these countries there is no social security; and EDUCATION is NOT FREE, even in public schools. Through your partnership with WFWP, you are supporting Sustainable Development Goal 4: ensure inclusive and quality education for all, and promote lifelong learning.In the Solomon Islands, 4/10 children drop out of primary school; and in Vanuatu, only 7/10 students enroll in high school. WFWP Australia is committed to solving this social problem by providing these children and youths with education opportunities.",
13462778021,Aussie Books For Zim,Registered,Small,"We turned 'trash into treasure', by diverting gently used books destined for landfill in  Australia, and shipping them to Zimbabwe, where we established 15 libraries in rural  disadvantaged communities. Aussie Books for Zim is creating brighter futures through books by giving communities access to books who previously had limited to no access  to books.",
13514790766,Eyes for India Oceania Incorporated,Registered,Small,"The screening and surgery camps are organized in collaboration with governmental and non-governmental voluntary organisations, local hosts and humanitarian groups.  An improvised surgical technique, known as small incision sutureless cataract surgery with an intraocular lens implantation, is used.  This procedure is the fastest cataract surgical procedure in the world, and extremely cost effective.  Approx 4,500 surgeries were carried out as a direct financial assistance from Eyes for India Oceania.  This has empowered patients to take care of themselves, and eventually break out of the extreme poverty line.  There are 15 million blind and 52 million visually impaired.  The cataract surgery cost of AUD$50 includes transport, accomm and after care for patients. All overseas funds are subject to audit and uploaded quarterly into the FCRA portals, Ministry of Home Affairs, Govt of India.  Volunteers travel from Australia to the Punjab, to assist with maintenance and to monitor activities.",
13521955864,The Trustee For The James & Evelyn Mcmanus Perpetual Charitable Trust,Registered,Small, ,
13556352207,Nepali Family Inc,Registered,Small,Housing and Education support for low caste orphans particularly girls.,
13571008741,Save Cambodian Children Fund Australia Inc,Registered,Small,"Transferring funds or goods overseas Operating overseas including visiting and delivering programs Further details: SCCFA is raising funds in Australia to build schools and provide opportunities/support for poor children in rural Cambodia, so they have a better chance to get out of poverty. Education is the best & sustainable gift for the poor and the most effective weapon to fight poverty.",
13574832238,Multibridge Community Centre Incorporated,Registered,Small,"We support this home as part of a regular visits with mobile medical clinics. Overseas visits were suspended during COVID lockdowns in Australia, but we sent $1600AUD to the home in lieu of being able to visit in person. This was done by sending to our partner charity, Full Gospel Assembly Melbourne Inc.",
13610692342,Australian Tibetan Society Inc,Registered,Small,"Supporting the Tibetan handicapped children in Dharamsala, North India. Dental project run by the Tashi Palkhel Charity in Pokhara, Nepal. Gangjong Doeghar, Himalayan Performing arts to promote Tibetan traditional music / dance. The Himalayan cultural school where poor children are educated in Salugara, West Bengal, India",
13623050582,Raw Impact International Limited,Registered,Medium,"RAW Impact partners with Australian schools, companies, churches and groups to facilitate Volunteer Team Trips to Cambodia to Raise Awareness and inspire powerful change by implementing build projects, teacher training and agricultural initiatives, alongside our local Cambodian team. Internationally, we operate within three key pillars - Sustain, Educate and Protect. Sustain: Partnering with villagers to provide sustainable livelihoods through intensive farming and agricultural initiatives; Educate: Providing teacher training to increase the capacity of local primary schools so kids can thrive; Protect: Implementing innovative design and build projects (primarily using bamboo) to assist families living in slums to have safe and secure housing. We also provide social work to benefit the family unit.",
13627233881,AUSKIND LTD.,Registered,Small,Auskind is a registered Australian and Indian charity that assists underprivileged families to support their children with educational scholarships in the target city of Pune,
13628586699,Swinburne University Of Technology,Registered,Large,"Transnational Education Malaysia: Undergraduate and postgraduate programs in Business, Information Technology, Engineering, Computer Science and Media Communication.   Singapore: Postgraduate level: Graduate Certificate of Counselling, Graduate Diploma of Counselling, Master of Counselling (Advanced) and Graduate Certificate of Clinical Supervision.   Vietnam: Undergraduate level: Business, Information and Communication Technology and Media Communications.   Sri Lanka: Undergraduate preparatory level: Foundation-Business, Engineering/Science. Diploma Unilink-Business, Engineering, IT, and Health Science.   Hong Kong: Undergraduate level: Aviation Management.   China: Twining Collaboration with Nanjing and Hohhot. China: Collaborative partner degree in Business, Accounting and Science. Joint PhD Research Collaboration: Students undertake Swinburne Masters and Research Degrees in-country.",
13680663161,Life View of the Refugees Incorporated,Registered,Small,"Through these experience, skill, and knowledge Life View of the Refugees Inc. to implement the agriculture programme in South Sudan. This time our Organization is interested to go and work for hand and hand with the Southern Sudanese Government and Society. The services that we shall be provided are as follows: Training society how to grow vegetables and how to prepare seeds beds for the different variety of vegetables: Training Society how to grow Fruits: Crop Husbandry, Animal Husbandry, Training staffs how to identify animal diseases and how to treat them. Training Staff how to identity crop infestation by insects and Pests and how to treat it, Training vulnerable farmers how to maintain their rations per year. Agriculture land Demarcation. I am very pleased to urge all organizations, governments, all people and individuals who are interested to help our organization to go and implement the promise to the people Southern Sudan as well as other African Nations.",
13696899427,Thanksgiving Australia Incorporated,Registered,Medium,"Helping with diversified program including medical, education and development in Egypt, Nepal and Bangladesh",
13728236810,The Trustee For The Elizabeth Mae Hughes_Estate,Registered,Small, ,
13728272789,The Trustee For J Sinclair Estate,Registered,Small, ,
13739332497,The Trustee For J.I. & D.R. Cromie Perpetual Trust,Registered,Small, ,
13822519341,Geelong Viqueque Friendship Schools Inc,Registered,Small,GVFS supports students to stay at school through a scholarship program where principals identify appropriate students. GVFS pay a retainer to a representative inViqueque who coordinates visits from Geelong and liaises with the school principals in Viqueque and the Educational Administrator of the region. GVFS also pays the salaryof 3 school librarians and provides resources and training when requested and possible. Funds are usually delivered during school 'friendship' visits from Geelong orelectronically transferred.Covid made this face to face option not possible during 2021 so all transfers were electronic.,
13822519341,Geelong Viqueque Friendship Schools Inc,Registered,Small,GVFS supports students to stay at school through a scholarship program where principals identify appropriate students. GVFS pay a retainer to a representative inViqueque who coordinates visits from Geelong and liaises with the school principals in Viqueque and the Educational Administrator of the region. GVFS also pays the salaryof 3 school librarians and provides resources and training when requested and possible. Funds are usually delivered during school 'friendship' visits from Geelong orelectronically transferred.Covid made this face to face option not possible during 2021 so all transfers were electronic.,
13841589581,The Trustee For Brisbane Revival Fellowship Trust,Registered,Small,Caring for church members and their families,
13857067628,Mercy Christian Childrens Ministries International Incorporated,Registered,Small,"Mercy Christian Children s Ministries International Inc (MCCMI) is a Christian Faith-based organisation and as such, at all times is considered to be a non-profit, non-denominational body promoting community initiative aimed at improving quality of life for underprivileged, disenfranchised parentless children, or and abandoned children. Our mission statement is  Building Lives, Changing Nations . We are committed to providing educational opportunities to both the children, their families, and their communities that we are privileged to engage with and care for. Ongoing financial, management, emotional and spiritual support provided, enables the children of MCCMI to continue to be clothed, housed, developed, loved and nurtured, and educated both in our secondary school 'Mercy Academy' and surrounding schools and registered training organisations",
13878916040,The Trustee For The Mary Irene Simpson Trust,Registered,Small, ,
13885396833,Basanta Foundation Incorporated,Registered,Small,"Basanta Foundation Incorporated organises various fundraising events in NSW to support the BRAVE Centre for people with Disability in Nepal. People with disability learn to sew for free at the Centre in order to live an independent life. Once they have learnt, they are given the opportunity to sew reusable Safaa sanitation pads at the Centre with paid wages. Alternatively, the graduates may decide to seek for a full time work elsewhere or some may start their own business. These Safaa Pads gets distributed for free to young girls of menstruation age around the rural parts of Nepal.",
13897833087,Shine Like Stars Inc.,Registered,Small,"We provided funds to our partners in Pakistan. They built a water filter for a needy community in the village of Manthar, in the desert region of Cholistan. Community members participated in its construction and learned how to maintain it so it will last 50 years.",
13914457737,The Trustee For Eta Basan Charitable Trust,Registered,Small, ,
13914614073,Australian Health Humanitarian Aid Inc,Registered,Small,"provide humanitarian aid relief, educational support and health services",
13919391377,Working For Animals Inc,Registered,Small,"We provide funding for running and maintenance of animal shelters and associated activities in India and other developing countries, as well as advice, guidance and sponsorship.",
13959947705,Hosanna Excelsis Kingship Church of Christ,Registered,Medium,"Continued support of Orphanages primarily within Africa and India to advance education in local residents and ensure local children are supported with food, clothing, shoes and other such needs as they arise. Payments are made directly to reputablelocal suppliers, where the local Pastors and carers are able to access supplies required. Where possible, photos and other correspondence are requested from beneficiaries, providing proof of receipt and proper use of funds.","Supporting of orphanages & local children within Africa, India and Nepal including the giving of Bibles, clothing, mosquito nets, payments for food, shoes and teaching and schooling materials. Supporting of local Pastors in locations around the world with prayer, encouragement, teaching and preaching materials, Bibles and Hosanna 'Morning Star' Publications DVDs, Music CDs. books, banners, bicycles and other materials from time to time.Hosanna Morning Star Internet Ministries Website and Youtube channel - Offering prayer, encouragement and teachings related to the Gospel of Christ Jesus our Lord - free of charge access to all worldwide."
14050065480,C3 Church Global Ltd,Registered,Large,"We resource churches and pastors with learning material, training, and support, to plant and develop churches in communities around Australia and oversees.","We resource churches and pastors with learning material, training, and support, to plant and develop churches in communities around Australia and oversees."
14060899084,The Trustee For Nita May Dobbie Trust,Registered,Small, ,
14073125381,Operation Restore Hope Australia Limited,Registered,Medium,Operation Restore Hope Australia carries out surgical missions for children living in poverty with cleft lip and palate.  We also partnerr with surgical and craniofacial foundations to support pediatric patients with severe clefts or craniofacial deformities who require treatment that can not be carried out in a mission environment.,
14128546850,Australian Cervical Cancer Foundation,Registered,Large,"ACCF is a signatory to the ACFID Code of Conduct, which is a voluntary self-regulatory sector code of good practice.  As a signatory we are committed and fully comply to ACFID s Code of Conduct, conducting our work with transparency, accountability, and integrity.  Our Annual Report for 2020-21 including the financial statements highlights that ACCF provided monetary support to our overseas partners. ACCF overseas activities were affected due to COVID 19.  The support provided has been carried out in good faith and within our mission, goals, purpose and values.",
14133636058,Christian Discipleship Ministries Ltd,Registered,Small,"We sponsor 70 school aged children in the Philippines, providing them with funds for food and schooling needs.",
14142058956,Grupo Pastoral Don Bosco Incorporated,Registered,Small,We transferring funds to Casa de Acogida Don Bosco in Lima - Peru,
14159835104,All Kids Limited,Registered,Medium,AllKids Objects:- To enable disadvantaged children to access education- To improve the quality of education within local schools- To strengthen local communities and encourage self determination,
14163481329,CUFA Ltd,Registered,Medium,Charity main beneficiary: Financially disadvantaged peopleOther main beneficiaries: General community in AustraliaOther main beneficiaries: Overseas communities or charities,
14166774438,Towards International Medical Equity,Registered,Small,We have donated $1000 to the Maluk Timor Clinic to aid them with purchasing medical supplies and fund operational costs.,
14186488521,Parish Of Dorset,Registered,Small, ,
14196214542,Roads to Rehab - Nepal,Registered,Small,"We work with and fund a not-for-profit organisation, NHEDF. Their activities are regulated by the Social Welfare Council (SWC) which is the Government body in Nepal that manages the registration and operations of charities. NHEDF is required to comply with all in-country legislation and work within specific governance frameworks and financial reporting requirements, including the submission of audited financial accounts in order to maintain their SWC registration. We usually also fund medical and surgical costs for patients at NHEDF's Shelter and medical and surgical intervention for women referred to them with obstetric fistula. This financial year this was not required. Nepal was faced with huge numbers of COVID-19 patients, hospitals filled to capacity, stretched resources, repeated bans on elective surgery and frequent lengthy lockdowns. Only emergency surgery was performed. This year NHEDF lodged an application to the SWC to change their name. This is still pending.","We have worked with NHEDF to provide broader, more detailed, inclusive policies to further foster safety, due diligence, transparency, accountability and good governance. We have also facilitated ongoing educational opportunities for NHEDF's clinical staff. We do not deliver these programs - we simply fund their work and NHEDF's Shelter is in Kathmandu in Nepal. Program delivery is undertaken by our project partner Nepal Healthcare Equipment Development Foundation. We simply support their work."
14236895053,The Trustee For Richard Elder Barr Smith Settlement,Registered,Small, ,
14261903263,The Journal Of Gastroenterology And Hepatology Foundation,Registered,Medium,Grants are paid to overseas doctors.,
14313281746,The Trustee for Ada Lettica Hincks Fund,Registered,Medium, ,
14376538691,D A Edols Estate,Registered,Small, ,
14387580061,Mundaring Church Of Christ,Registered,Medium,We provide financial support to the Australian based head offices of missionaries working overseas and within Australia.  We also provide prayer support,Provision of financial support for missionaries overseas.  All funding given to registered Australian Charity based in Australia.
14432764463,Rhizomin Inc,Registered,Small,Focus is to mentor Christian NGOs in developing countries. Also to provide support and leadership to organisations globally who are working toenhance and spread the Christian faith.,
14449169690,Pauline L. Curwen Charitable Trust,Registered,Small, ,
14458768638,Orbus Ministries Australia Inc.,Registered,Small,"With a successful project development undertaken in Malawi since 2007 and operating now for 12 years, along with relationships developed with Malawian and Australian partners and supporters, good governance, effective outcomes, project goals being achieved such as providing practical help to orphaned and vulnerable children along with widows and the impoverished in the community around Ngumbe, and on a self-sustainable basis, Orbus Ministries Australia continue to be committed to current and potentially future programs in Malawi or surrounding countries.",
14486417913,Carroll Animal Welfare Trust,Registered,Small, ,
14533828692,The Trustee For Lillian Little Trust,Registered,Small, ,
14560771852,The Trustee for The Greeba Jamison Perpetual Charitable Trust,Registered,Small, ,
14565272536,Perth Observatory Volunteer Group Incorporated,Registered,Medium,The Observatory operates a internet telescope that is part of an international network through which astronomers book time for their observations.  The Observatory also hosts equipment that monitors the night sky for meteors so that their orbits may be calculated and their origins determined. Other equipment hosted onsite monitors satellites for use in space situational awareness.,Hosting monitoring equipment for international space observation networks
14578483221,Wantaim PNG Incorporated,Registered,Small,"Our vision: A strong and sustainable PNG where villagers are empowered to achieve productive, meaningful and prosperous lives. We prioritise initiatives that empower two of the largest, voiceless groups in PNG, women and youth. In doing so we support families and entire communities. We target remote rural communities where 85% of people live.",
14598797167,HANARU WOMEN'S HEALTH FUNDRAISING INC,Registered,Small,"Hanaru Womenâs Health Fundraising Inc has been established in Australia to raise social awareness about the plight of school aged girls and women in India. They are disadvantaged and discriminated against because of social normalities in India. We also raise funds to support them. Hanaruâs financial support enables the production of the washable sanitary napkins. Local women are employed to make them. The amount of money donated determines how many girls will receive menstrual health education and a sanitary napkin kit. Hanaru designs and organises the production of fabrics in Taiwan. We have established a fabric grid system so that the production of Hanaru sanitary napkins is accountable. This year, we started engaging local university students as our ambassadors to visit school girls in the local communities, including slums. We value their efficient field work and communication skills.",
14621332134,Asum Outreach Ltd,Registered,Small,Volunteer sonographers supported basic training in ultrasound while in Australia. The volunteers for Mercy Hands would then gain skills in basic ultrasound to support healthcare as part of their charitable work in Tanzania.ASUM Outreach involvement was based in Australia to support training local teams before visiting international sites.,
14623439403,Access Asia Health Accelerator Limited,Registered,Small,"With pandemic of Covid continued globally in 2021, we operated our programs online. We organised workshops for the startups in Upraisa Founders Education program, and invite them to link up with the investors or potential partners in China. We supported the Australia China Health Summit in Sep 2021. We co-organised a initial workshop for International Market Readiness Program with Australia China Business Council and Shenzhen Economic and Trade Office (SETO) in Australia to invite Australian experts to present to Chinese companies. We developed a series of medical professional training videos on ophthalmology and General Practice, and posted in the self-media platforms in China to bring Australian medical expertise and experience to the health professionals in China.",
